death to spies: moment of truth	The Most Mysterious Secret Service Agency of WWII This is a third-person stealth-action game describing the activities of the SMERSH, the most mysterious secret service agency of World War II. Moment of Truth is a sequel to the popular stealth action title Death to Spies.	['Action', 'Stealth', 'World War II', 'Third Person', 'Shooter', 'Singleplayer', 'Atmospheric']	['Single-player', 'Steam Cloud']
the lost heir: the fall of daria	Take back your throne from demon-summoning usurpers in this 145,000-word interactive fantasy novel! Will your prince or princess choose to be good or evil?	['Indie', 'RPG', 'Choose Your Own Adventure', 'Text-Based']	['Single-player', 'Steam Achievements', 'Captions available', 'Steam Cloud']
flying hero	Evil unicorns conquered Meow York City! It's about time to unleash your true hero skill and get some revenge! Save all the cute kitten in this thriving city on a beautiful island and upgrade your gear to fly faster than any other hero ever!	['Indie', 'Action', 'Casual', 'Simulation', 'Adventure', 'VR', 'Flight', 'Singleplayer', 'Open World', 'Fast-Paced', 'First-Person', 'Early Access', 'Realistic', 'Horror']	['Single-player', 'Tracked Controller Support', 'VR Only']
simple rpg	A simple placement game, which only needs to set the role to fight, can achieve full automatic combat.	['Idler', 'RPG', 'Collectathon', 'Female Protagonist', 'Medieval', 'Point & Click', 'Clicker', '2D', 'Casual', 'Colorful', 'Indie', 'Combat', 'Singleplayer', '2D Platformer', 'Text-Based']	['Single-player']
next day: survival	Next Day is a multi-player SURVIVAL game with elements of RPG, in an imaginary country in Eastern Europe. Carry out an array of tasks, learn skills, and develop your character. Have shootouts with opponents and earn a reputation.	['Survival', 'Open World', 'Multiplayer', 'Post-apocalyptic', 'Crafting', 'Shooter', 'Co-op', 'Action', 'RPG', 'Singleplayer', 'PvP', 'Atmospheric', 'Sandbox', 'Adventure', 'PvE', 'Early Access', 'Third-Person Shooter', 'Indie', 'Simulation', 'MMORPG']	['Single-player', 'Online PvP', 'Steam Achievements', 'Steam Cloud']
lexica	The unique word puzzle which combines the skill of Sudoku with the knowledge of Scrabble®. Lexica has been featured in a number of UK daily newspapers but is now available for the first time in an interactive form.	['Casual', 'Indie', 'Puzzle', 'Word Game', 'Singleplayer']	['Single-player', 'Steam Achievements']
10 second ninja	Ninjas are cool, this is an established fact of the universe. Nazi Robots from space are not cool, they are the complete opposite of cool, and Robot Hitler is out to get you, the world's first ninja. You have 10 seconds to destroy all Nazi Robots in your vicinity. IT. IS. ON.	['Indie', 'Action', 'Platformer', 'Ninja', 'Fast-Paced', 'Puzzle', '2D', 'Time Attack', 'Difficult', 'Singleplayer', '2D Platformer']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']
alice - behind the mirror	Over Wonderland glides the shadow of the Jabberwocky, a terrifying fantasy creature! Alice is summoned by the Cheshire Cat to help restore peace and harmony.	['Casual', 'Adventure', 'Hidden Object']	['Single-player']
zombie apocalypse	From the creators that brought you The Test Trilogy & many other experiences, comes Zombie Apocalypse Survival Simulator. Will you survive in the new world? Or will you become just another victim to looters, bandits, or worst of all... The Voracious Dead. There's only one way to find out...	['Simulation', 'Choices Matter', 'Multiple Endings', 'Visual Novel', 'RPG', 'Horror', 'Post-apocalyptic', 'Choose Your Own Adventure', 'Survival Horror', 'Zombies', 'Mystery', 'Detective', 'Investigation', 'Female Protagonist', 'Survival', 'Anime', 'Adventure', 'Roguelite', 'Casual', 'Tabletop']	['Single-player', 'Full controller support']
grimoire chronicles	Join Myra, a young witch, on a fantastic journey to save her best friend! 10 Playable Characters, 20 Side-Quests and 15 Secret Areas to discover!	['Adventure', 'Casual', 'RPG', 'Indie', 'Strategy', 'RPGMaker', 'Female Protagonist']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']
miles & kilo	Race across a curious island in this fast-paced, light-hearted platformer	['Action', 'Adventure', 'Indie', 'Pixel Graphics', 'Platformer', 'Retro', 'Difficult', 'Runner']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV']
slash it	Play the rhythm of a song through various game modes and compete with other players!	['Casual', 'Action', 'Indie', 'Rhythm', 'Music', 'Typing']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards']
battle fantasia	"Battle Fantasia", the fantasy RPG themed 2D Fighting game is now appearing on Steam, and "REVISED" with the latest balances and improved visual effects! Comes with FREE Soundtrack DLC!	['Fighting', 'Action', '2D Fighter', 'Anime', 'Local Multiplayer', 'Arcade', 'Great Soundtrack', 'Competitive', 'Controller', '2.5D', '2D', 'Singleplayer', 'Difficult', 'Classic', 'eSports']	['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play Together']
future racer	Only You Can Be The Future Racer 2000	['Psychological Horror', 'Dark Humor', '1980s', 'Walking Simulator', 'Surreal', 'Female Protagonist', 'Racing', 'Rhythm', 'First-Person', 'Horror', 'Lore-Rich', 'Alternate History', 'Post-apocalyptic', '3D', 'Mystery', 'Realistic', 'Story Rich', 'Sci-fi', 'Lovecraftian', 'Adventure']	['Single-player']
anomaly warzone earth	Anomaly Warzone Earth Mobile Campaign continues Steam's Anomaly Warzone Earth in an extra 15-level campaign. Originally released on mobile devices, the campaign is brought to Steam for PC, Mac and Linux exclusively in Anomaly Bundle. AWE Mobile Campaign turns tower defense on its head.	['Strategy', 'Action', 'Tower Defense', 'Sci-fi', 'Indie', 'Singleplayer']	['Single-player', 'Steam Trading Cards']
lords of the realm iii	When it comes to medieval real-time strategy, Lords of the Realm III flies the flag high. Whether it's maneuvering troops on the battlefield, negotiating trade and alliances, or overseeing armies across the lands, RTS fans will find plenty here to enjoy.	['Strategy', 'Simulation', 'RTS', 'Medieval']	['Single-player']
rooms: the main building	Use object inside rooms and move the rooms to escape. 100 challenging sliding puzzles with a twist! The solution is only a doorstep away!	['Casual', 'Indie', 'Puzzle']	['Single-player', 'Steam Trading Cards', 'Steam Cloud']
the far kingdoms: elements	"The Far Kingdom: Elements" is a mixture between Match3 and hidden object game. Find the essential elements and stop the evil enchantress Morgana by helping princess Arianna to remove the curse from her kingdom!	['Casual', 'Hidden Object', 'Match 3', 'Indie']	['Single-player']
looterkings	Looterkings is a procedural dungeon-crawler you can play online in coop-mode with up to 3 of your friends. Loot as much as you can on your way up from the dark caves beneath earth to the surface, gear up and reach your ultimate goal ravaging the hallowed halls of the Elven Queen, eventually.	['Action', 'RPG', 'Indie', 'Co-op', 'Dungeon Crawler', 'Nudity', 'Loot', 'Roguelike']	['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Cloud']
fish tycoon	Greetings Tycoons! Your favorite mobile game is now available on Windows & Mac! Are you as excited as we are? Happy Fishing!	['Simulation']	['Single-player', 'In-App Purchases']
brix	Challenge yourself to a new kind of bullet-hell fusion shooter. Change your aircraft to get new skills just when you need them against advancing foes. Aim for the top spot!	['Action', 'Indie', 'Casual', "Shoot 'Em Up", 'Bullet Hell', 'Space', 'Roguelite', 'Arcade', 'Shooter', 'Side Scroller', 'Local Co-Op', 'Difficult', 'Addictive', 'Sci-fi', 'Roguelike', 'Classic', 'Controller', 'Soundtrack', 'Local Multiplayer', 'Action Roguelike']	['Single-player', 'Shared/Split Screen PvP', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Partial Controller Support', 'Steam Leaderboards', 'Remote Play Together']
bubble burst	Bubbles... Only you can stop them. Collect three bubbles of the same color or more to burst them. You are waiting for a lot of exciting levels. You will also receive special bubbles that will not let you be bored.	['Action', 'Indie', 'Casual']	['Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards']
out there	Out There: Oceans of Time is a space exploration game that puts you at the helm of an interstellar mission of discovery spanning a vast and vibrant cosmos.	['Adventure', 'Singleplayer', 'Resource Management', 'Survival', 'Atmospheric', 'Open World', 'Space', 'Strategy', 'Roguelite', 'RPG', 'Sci-fi', 'Roguelike', 'Replay Value', 'Choices Matter', 'Story Rich', 'Turn-Based', 'Turn-Based Strategy', 'Exploration', 'Choose Your Own Adventure', 'Female Protagonist']	['Single-player', 'Steam Achievements', 'Steam Cloud']
jumpman	This action platformer takes place on the asteroids of far away worlds. You have to jump from asteroid to asteroid in 30+ mind bending levels in order to get through the level as fast as possible. Normal Game Mode - More that 30 handcrafted levels.	['Indie', 'Action', '3D Platformer', 'Singleplayer', 'Platformer', 'Dating Sim', 'Space', 'Psychological Horror', 'Adventure', 'Walking Simulator', 'Exploration', 'Minimalist', '3D', 'Survival', 'Atmospheric', 'Physics', 'Casual', 'Relaxing', 'Nudity']	['Single-player', 'Steam Trading Cards']
egyptian senet	The Mysterious Afterlife Journey And The Favorite Pastime Of The Pharaoh Tutankhamun. Don't Miss The Opportunity To Play The World's Oldest Board Game From Ancient Egypt.	['Board Game', 'Historical', 'Tabletop', 'Mythology', 'Strategy', 'Casual', 'Chess', 'Solitaire', 'Relaxing', 'Family Friendly', 'Indie', 'Simulation', 'Puzzle', 'Arcade', 'Clicker', 'Underground', 'Education', 'Turn-Based', 'Life Sim', 'Mystery']	['Single-player', 'Shared/Split Screen PvP', 'Cross-Platform Multiplayer', 'Remote Play Together']
strategic command	Strategic Command World War I: The Great War is a grand strategy game in the series from award winning game designer Hubert Cater. It is more than just another addition to the Strategic Command series - it is an entire game engine at your fingertips!	['Simulation', 'Strategy', 'World War I']	['Single-player', 'Online PvP']
fantasy kingdom simulator	Fantasy Kingdom Simulator transports you into a medieval realm where you reign as King of four villages, and your duty is to help them grow and blossom into fully developed cities. You'll be making meaningful choices, important decisions and face the consequences if you plan poorly.	['Casual', 'Simulation', 'Strategy', 'Indie', 'Management', 'Abstract', 'Turn-Based Strategy', 'Grand Strategy', 'Strategy RPG']	['Single-player', 'Steam Trading Cards']
rise & shine	Welcome to Gamearth, a once peaceful planet now threatened by the warmongering Space grunts of Nexgen. In the aftermath of their devastating first strike a child named Rise is forced to take on the sacred gun Shine - and with it the fate of his world.	['Action', 'Indie', 'Action-Adventure', 'Puzzle Platformer', 'Platformer', 'Difficult', '2D', 'Shooter', 'Short']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']
virtual families	The sequel to the smash hit is finally here!	['Simulation']	['Single-player']
fearless fantasy	As Leon, the world’s most dangerous bounty hunter, you embark on a mission to slay the world’s weirdest creatures, and save a girl from an awful marriage.	['RPG', 'Indie', 'Casual', 'Adventure', 'Action', 'Turn-Based', 'Fantasy', 'Singleplayer', 'Touch-Friendly', 'Horror', 'Anime', 'Funny', 'Comedy']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']
defcon 		[]	['Single-player', 'Online PvP', 'LAN PvP', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements']
massive assault: phantom renaissance	Massive Assault: Phantom Renaissance is the sequel to highly acclaimed turn-based strategy game Massive Assault. Massive Assault: Phantom Renaissance features a renewed global conflict between the Free Nations Union and Phantom League in distant space colonies.	['Strategy', 'Turn-Based']	['Single-player']
board games	It's Game Time! Throw the dice, shuffle the cards and put your strategy to the test with latest version of Encore Classic Puzzle & Board Games. This classic game collection features all time classic games including: Chess, Backgammon, Dominoes, Kakuro Crosswords, Mahjongg, and much more!	['Strategy', 'Casual', 'Sports', 'Puzzle', 'Board Game']	['Single-player']
fract osc	FRACT is a musical exploration game. You arrive in a forgotten place and explore the vast and unfamiliar landscape to discover the secrets of a world built on sound. You rebuild its machinery by solving puzzles and bring the world back to life by shaping sound and creating music in the game.	['Music', 'Indie', 'Puzzle', 'Exploration', 'First-Person', 'Great Soundtrack', 'Singleplayer', 'Atmospheric', 'Adventure', 'Abstract', 'Walking Simulator', 'Surreal', 'Open World']	['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']
dolphin up	A fun, vibrant, 2-minute game with surprising depth, Dolphin Up lets you do amazing tricks with a porpoise. Successful flips, spins and tailslides build speed, allowing you to jump higher and soar into the stars.	['Action', 'Indie', 'Casual', 'Sports']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']
haunted past	Many years ago, Emily plummeted from an attic window to her doom. Her house now lies abandoned along with the mystery of her death. Sara has inherited this dark home, only to discover that it is not empty.	['Adventure', 'Hidden Object', 'Point & Click', 'Puzzle', 'Casual', 'Horror']	['Single-player']
spaceport hope	A huge hand-crafted world packed with 13 unique bosses, a gripping story, and tons of enemies, Spaceport Hope is the ultimate test of gaming prowess.	['Indie', 'Action', 'Adventure', 'Platformer', 'Pixel Graphics', 'Metroidvania', '2D', 'Anime', 'Retro', 'Sci-fi', "Shoot 'Em Up", 'Space', 'Shooter', 'Singleplayer', 'Exploration', 'Arcade', 'Open World', 'Funny', 'Atmospheric']	['Single-player', 'Steam Achievements', 'Steam Trading Cards']
costume quest		[]	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on TV']
earth attack	Tragedy strikes as aliens attack Earth. You're left alone to pilot the last remaining spacecraft on its way back to Earth from Mars Colony. Avoid missiles, asteroids, enemy ships, and more as you accumulate high-scores in Earth Attack! Can you survive long enough or will you perish?	['Action', 'Casual', 'Survival', 'Bullet Hell', 'Runner', '2D', 'Top-Down', 'Aliens', 'Indie', 'Futuristic', 'Space', 'Score Attack', 'Singleplayer', 'Psychological Horror', 'Horror', 'Hentai']	['Single-player']
geneforge		[]	['Single-player']
the story goes on	You are the hero inside the storybook of an obsessed author pondering with his life’s work. Explore repeating worlds, befriend a talking scarecrow and swing your sword really fast, while uncovering the true, overarching adventure within.	['Action Roguelike', 'Action', 'Casual', 'Adventure', 'Arcade', 'Perma Death', 'Exploration', 'Hack and Slash', '2D', 'Action-Adventure', 'Early Access', 'Colorful', 'Roguelike', 'Top-Down', 'Singleplayer', 'Swordplay', 'Difficult', 'Design & Illustration', 'Roguelite', 'Indie']	['Single-player', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Remote Play Together']
gun rocket	If you are not prepared for a challenge - turn back now. Gun Rocket is a 2D physics puzzler that is not for the feint of heart or the stiff of fingers. In search of adventure, you have been caught by holes in space and time. Can you escape?	['Indie', 'Casual', 'Adventure', "Shoot 'Em Up", 'Difficult', 'Puzzle', '2D', 'Arcade', 'Shooter', 'Space', 'Pixel Graphics', 'Action', 'Retro', 'Singleplayer', 'Exploration', 'Classic']	['Single-player', 'LAN PvP', 'Steam Trading Cards']
runers	Runers is a top-down rogue-like dungeon shooter where you explore a vast underground labyrinth and face fierce monsters and bosses. As the game advances further into the dungeon, you will gather Runes, which will be used to combine into 285 unique spells.	['RPG', 'Indie', 'Roguelite', 'Magic', 'Roguelike', 'Top-Down', 'Action']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play Together']
invasion!	Narrated by Ethan Hawke and created by the director of Madagascar, INVASION! is a colorful VR animated short about a duo of aliens with grand ambitions to take over our world. Instead, they are greeted by two adorable, white bunnies…..and you are one of them! Come experience what happens!	['Adventure', 'Casual', 'VR']	['Single-player', 'Tracked Controller Support', 'VR Only']
run!	Run Prop, Run! is a 12-player prop hunt hide & seek game with platforming, skills, and crazy game rules! Join the hunters army to seek props, or disguise as random objects to deceive the others!	['Early Access', 'Free to Play', 'PvP', 'Parkour', 'Party Game', 'Stealth', 'Comedy', 'Online Co-Op', 'Third-Person Shooter', '3D Platformer', 'Arcade', 'Character Customization', 'Third Person', '3D', 'Funny', 'Cartoon', 'Casual', 'Cartoony', 'Action', 'Family Friendly']	['Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'In-App Purchases', 'Partial Controller Support', 'Stats']
panzer tactics hd	Strategists to the frontline!The HD remake of the Nintendo DS classic.Are you the strategist that the world has been waiting for?	['Strategy', 'Simulation', 'World War II', 'Turn-Based Strategy', 'Hex Grid', 'Wargame', 'Turn-Based', 'War']	['Single-player', 'Steam Achievements']
the great art race	The famous art collection of your family was stolen. By investing the profits of your coffee or tobacco plantations you might have the chance to save the heritage of your ancestors – but only if you manage your colonial enterprise wisely.	['Simulation', 'Strategy', 'Trading']	['Single-player']
job the leprechaun	Help Job the Leprechaun to rescue his friend Eri in this retro style Platformer Game.	['Indie', 'Casual', 'Platformer']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']
the whispered world	When the fate of a world hangs in the balance, an unusual hero arises! The visually impressive adventure-epic The Whispered World is now available as a Special Edition for the first time. Let the Whispered World enchant you with its many animated details and fantastic characters.	['Adventure', 'Point & Click', 'Indie', 'Singleplayer', 'Puzzle', 'Story Rich', 'Fantasy', 'Atmospheric', 'Great Soundtrack', 'Escape Room', 'Hand-drawn', 'Comedy', 'Funny', '2D']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Commentary available']
finding hope	Discover a new world in this quirky RPG full of colorful characters - a story of love and madness filled with twists and surprises!	['Adventure', 'Casual', 'RPG', 'Indie', 'RPGMaker']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']
running through russia	Running Through Russia - funny runner with a bunch of memes about Russia and russian people.	['Casual', 'Indie', 'Early Access', 'Adventure', 'Memes', 'Psychological Horror', 'Platformer', '2D', 'Pixel Graphics', 'Illuminati', 'Runner', 'Story Rich']	['Single-player', 'Steam Achievements']
joe & mac returns	Joe & Mac return in this frantic and zany single-screen arcade action platformer from Data East™. The local cave women have been kidnapped once again, so it’s up to these stone-age superstars to rescue them. Grab your club and get ready to dish out serious prehistoric pain!	['Arcade', 'Action', '2D Platformer', 'Cartoony', "Beat 'em up", 'Platformer', 'Action-Adventure', 'Retro', 'Pixel Graphics', 'Dinosaurs', '2D', 'Stylized', 'Cute', 'Funny', 'Colorful', 'Combat', 'Comedy', "1990's", 'Old School', 'Controller']	['Single-player', 'Shared/Split Screen Co-op', 'Partial Controller Support', 'Remote Play Together']
bottoms up	Bottoms Up! - is a linear Visual Novel type of game that only aims to present an unique story, interesting fantasy world, colorful characters and the largely funny, but sometimes dark shenanigans they get into.	['Visual Novel', 'Fantasy', 'Atmospheric', 'Comedy', 'Hand-drawn', 'Investigation', 'Mystery', 'Linear', 'Story Rich', 'Singleplayer', 'Adventure', 'Interactive Fiction', 'Dark Comedy', 'Dark Fantasy', 'Dark Humor', 'Detective', 'Mythology', 'Satire', 'Dark', 'Funny']	['Single-player']
aqua moto racing utopia	Aqua Moto Racing Utopia let's you race through both big and small waves and make death defying stunts to get that much needed boost that let's you pass your friends on the final stretch. A fun-packed racer with interactive waves, split screen and online racing!	['Racing', 'Sports', 'Action', 'Indie', 'Simulation', 'Arcade', 'Multiplayer', '4 Player Local', 'Singleplayer', 'Atmospheric']	['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Remote Play on TV', 'Remote Play Together']
a wise use of time	With the power to freeze time, you can ransack a casino, rescue a celebrity, or cheat death itself! A thrilling interactive sci-fi novel.	['RPG', 'Indie', 'Choices Matter', 'Choose Your Own Adventure', 'Interactive Fiction', 'Text-Based', 'LGBTQ+']	['Single-player', 'Steam Achievements', 'Captions available', 'Steam Cloud']
chinese chess	The most popular Chinese board game.	['Early Access', 'Simulation', 'Indie', 'Strategy', 'Tabletop', 'Chess']	['Single-player', 'Steam Achievements', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Remote Play Together']
puzzle dimension	Find solutions to 100 unique puzzles and experience the satisfaction of "Aha" moments!	['Puzzle', 'Indie', 'Casual', 'Singleplayer']	['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']
the dark side	There is no one in the world who could return from the Dark Side inviolate… Going there is the only chance to light the fading flame, though. “Darkness and Flame. The Dark Side” is an adventure game in the genre of Hidden Objects, with plenty of mini-games and puzzles, unforgettable characters and complicated quests.	['Adventure', 'Casual', 'Hidden Object']	['Single-player', 'Steam Achievements', 'Steam Cloud']
alphadia genesis	Alphadia Genesis chronicles an epic adventure with Fray and his investigative team from the Archleign Kingdom as they set out to solve a mysterious murder case in a nearby city. Immerse yourself in stunning 3D battles!	['RPG', 'Adventure', 'Action', 'JRPG', 'Anime', 'Turn-Based', 'Fantasy', 'Indie', 'Old School', 'Pixel Graphics', 'Singleplayer', 'Story Rich', 'Visual Novel', '3D', 'Party-Based RPG', 'Retro', 'RPGMaker']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']
sentry knight	Sentry Knight Tactics is a charming, cute action-strategy RPG adventure. Set in a land under siege by a transdimensional evil, you command your team of powerful heroes through various realms as you slaughter enemy hordes, complete quests, upgrade your gear and save the world.	['Adventure', 'Strategy', 'RPG', 'Indie', 'Action', 'Cute', '2D', 'Action RPG', 'Fantasy', 'Singleplayer', 'Difficult', 'Classic', 'Tactical']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']
the marvellous miss take	The stealth genre gets turned on its head in The Marvellous Miss Take – the only heist adventure that invites you to steal with style! Use cunning, guile and the art of deception to grab the loot and escape without getting caught by the guards!	['Stealth', 'Indie', 'Action', 'Casual', 'Female Protagonist', 'Heist', 'Singleplayer', 'Great Soundtrack']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']
all-star fruit racing	A high-speed multiplayer racer with a unique power-up system! Combine different juices for a range of attacking and defensive abilities. Drift through looping bends. Soar over monumental jumps, and defy gravity around tubular tracks in an explosively colorful racer!	['Racing', 'Arcade', 'Sports', 'Cartoony', 'Multiplayer', 'Action', 'Split Screen', 'Family Friendly', 'Funny', 'Local Multiplayer', 'Casual', 'Parody', 'Time Attack', '4 Player Local', 'Early Access', 'Colorful', 'Singleplayer', '3D Platformer', 'Cute', 'PvP']	['Single-player', 'Online PvP', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Remote Play on TV', 'Remote Play Together']
skully	On a mysterious remote island, a skull washes up on shore and is reawakened by an enigmatic deity. Dubbed Skully, the newly reanimated being has been summoned to intervene in a war between the deity’s three siblings, whose quarrel jeopardizes the island they call home.	['Indie', 'Adventure', 'Puzzle', 'Platformer', '3D Platformer', 'Action-Adventure', 'Arcade', 'Exploration', 'Collectathon', 'Puzzle Platformer', 'Runner', 'Precision Platformer', 'Third Person', 'Atmospheric', 'Comedy', 'Fantasy', 'Funny', 'Story Rich', 'Physics', 'Casual']	['Single-player', 'Steam Achievements', 'Full controller support']
talismania deluxe	King Midas accidentally turned his own daughter into gold! Use his special powers to perform acts of goodness instead of greed. Help Midas connect magical talismans to release gold coins and help the poor. If you help enough people, Zeus will change Midas' daughter back to her old self.	['Casual', 'Puzzle']	['Single-player']
zombie party	Zombie Party is a retro rampage of fun and over-the-top action, while still giving the players a deep and engaging Action-RPG Rogue-like experience! Go on a time traveling adventure, or delve deep into procedural dungeons full of gold, loot, and secrets!	['Action', 'Action Roguelike', 'Indie', 'Adventure', 'RPG', 'Zombies', 'Bullet Hell', 'Twin Stick Shooter', 'Dungeon Crawler', 'Multiplayer', 'Pixel Graphics', 'Difficult', 'GameMaker', 'Roguelite', 'Local Multiplayer', 'Roguelike', '2D', 'Illuminati', 'Co-op', 'Local Co-Op']	['Single-player', 'Shared/Split Screen PvP', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Stats', 'Steam Leaderboards', 'Remote Play on TV', 'Remote Play Together']
haunted hotel	No good deed goes unpunished…	['Hidden Object', 'Puzzle', 'Point & Click', 'Detective', 'Horror', 'Casual', 'Linear', 'Story Rich', 'Colorful', 'Fantasy', 'Magic', 'Atmospheric', 'Investigation', 'Adventure', 'Mystery', 'Dark', 'Singleplayer']	['Single-player']
battle royale	Battle enhanced aliens in a gladiatorial contest to become the galaxy's champion!	['Action', 'Adventure', 'Casual', 'RPG', 'Superhero', 'Text-Based', 'Interactive Fiction', 'Action RPG', 'Action-Adventure', 'Indie', 'Futuristic', 'Sci-fi', 'Singleplayer', 'Choose Your Own Adventure', 'Violent']	['Single-player', 'Steam Achievements', 'Steam Cloud']
carpe diem: reboot	Just because it crashed doesn't mean it's over.	['Indie', 'Casual', 'Visual Novel', 'Anime']	['Single-player', 'Steam Achievements', 'Steam Cloud']
evilquest	Why save the world when you can conquer it? In EvilQuest, take on the role of Galvis — a dark knight obsessed with ultimate power. Set out on a quest of revenge,destruction and conquest in this exciting retro Action RPG title.	['RPG', 'Indie', 'Action', 'Adventure', 'Villain Protagonist', 'Retro', 'Action RPG', 'Pixel Graphics', 'Singleplayer']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']
gas guzzlers extreme		[]	['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Steam Leaderboards', 'Remote Play on TV']
air hockey	Online PvP Air Hockey with fast-paced gameplay! Overcome your opponent by using madskillz and powerful pickups.	['Action', 'Indie', 'Casual', 'Sports']	['Single-player', 'Online PvP', 'Steam Achievements', 'Steam Cloud']
castles ii: siege & conquest	In this game of medieval diplomacy, treachery & power. To win you must survive. To survive you must scout the surrounding territories, defeat the local militias, subjugate the land with castles, feed the people, forge diplomatic alliances, appease the church and unite the land under your iron fist.	['Strategy', 'RPG', 'Historical', 'Tactical', 'Real Time Tactics', 'Building', 'Real-Time', 'Resource Management']	['Single-player']
mahjong club	Mahjong Club is a casual mahjong game. 30 mahjong club members from different schools meet up for different goals. Based on authentic Japanese mahjong rules, character-based ability system is added for fun. Meet with cute school girls, and enjoy playing mahjong with them!	['Casual', 'Sports', 'Indie', 'Mahjong', 'Board Game', 'Anime']	['Single-player', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Stats']
super monkey ball: banana blitz	Hold onto your bananas, because Super Monkey Ball: Banana Blitz HD is rolling your way! Experience the magic of one of the most beloved titles in the series, now remastered in HD!	['Action', 'Cartoony', 'Colorful', 'Classic', 'Remake', 'Family Friendly', 'Controller', 'Singleplayer', 'Cute', '3D Platformer', 'Arcade', 'Great Soundtrack', 'Platformer', 'Local Multiplayer', 'Puzzle', 'Difficult']	['Single-player', 'Steam Achievements', 'Full controller support']
loop: a tranquil puzzle game	LOOP is a tranquil puzzle game, with a unique, simple, meditative feel. Inspired by Zen philosophy, the minimal UI has no timers, move limit or score; allowing you to just relax and focus. Includes over 1 BILLION Levels and a colour blind mode.	['Casual', 'Indie', 'Puzzle', 'Relaxing']	['Single-player']
guilty gear isuka	A new Gear arises, its name Leopaldon. As they threaten to lay waste to the world, you prepare to mount your offense. The good news? You won't have to face them alone. Guilty Gear Isuka introduces the brand new mechanic of cooperative gameplay to the tried and true fighting madness of the Guilty Gear XX series.	['Fighting', '2D Fighter', 'Anime', 'Action', 'Great Soundtrack', "Beat 'em up", 'Arcade', 'Local Multiplayer', '2D']	['Single-player', 'Shared/Split Screen PvP', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Remote Play Together']
los	Seek & Find the Hollywood Blockbuster! The only copy of this year's biggest blockbuster movie has gone missing the day before the VIP Hollywood premiere. You are the world famous Mystery P.I. and have been hired to track down and return the lost movie. Seek & Find over 2100 hidden objects in 25 stunning L.A.	['Casual', 'Hidden Object']	['Single-player']
